date,admin1_bps_code,admin1_bps,cumulative_cases,cumulative_deaths,daily_hospitalizations,cases_measure,deaths_measure,hospitalizations_measure,link
05.06.2020,11,ACEH,17,1,8,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.07.2020,11,ACEH,17,1,8,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.08.2020,11,ACEH,17,1,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.09.2020,11,ACEH,17,1,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.10.2020,11,ACEH,17,1,5,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.11.2020,11,ACEH,17,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.12.2020,11,ACEH,17,1,4,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.13.2020,11,ACEH,17,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.14.2020,11,ACEH,17,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.15.2020,11,ACEH,17,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.16.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.17.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.18.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.19.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.20.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.21.2020,11,ACEH,18,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.22.2020,11,ACEH,19,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.23.2020,11,ACEH,19,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.24.2020,11,ACEH,19,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.25.2020,11,ACEH,19,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.26.2020,11,ACEH,19,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.27.2020,11,ACEH,19,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.28.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.29.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.30.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
05.31.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.01.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.02.2020,11,ACEH,20,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.03.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.04.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.05.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.06.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.07.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.08.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.09.2020,11,ACEH,20,1,1,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.10.2020,11,ACEH,22,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.11.2020,11,ACEH,22,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.12.2020,11,ACEH,22,1,3,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.13.2020,11,ACEH,22,1,2,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.14.2020,11,ACEH,27,1,7,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.15.2020,11,ACEH,27,1,7,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.16.2020,11,ACEH,27,1,6,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.17.2020,11,ACEH,37,2,15,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.18.2020,11,ACEH,38,2,16,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.19.2020,11,ACEH,38,2,16,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.20.2020,11,ACEH,39,2,17,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.21.2020,11,ACEH,49,2,27,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.22.2020,11,ACEH,49,2,27,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.23.2020,11,ACEH,49,2,27,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.24.2020,11,ACEH,53,2,31,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.25.2020,11,ACEH,66,2,44,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.26.2020,11,ACEH,69,2,47,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.27.2020,11,ACEH,77,2,53,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.28.2020,11,ACEH,79,2,52,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.29.2020,11,ACEH,79,3,51,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
06.30.2020,11,ACEH,80,3,51,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.01.2020,11,ACEH,86,3,52,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.02.2020,11,ACEH,86,3,52,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.03.2020,11,ACEH,87,3,53,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.04.2020,11,ACEH,87,3,53,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.05.2020,11,ACEH,87,3,53,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.06.2020,11,ACEH,87,3,44,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.07.2020,11,ACEH,88,3,43,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.08.2020,11,ACEH,89,3,35,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.09.2020,11,ACEH,90,3,33,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.10.2020,11,ACEH,90,3,28,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.11.2020,11,ACEH,99,4,32,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.12.2020,11,ACEH,106,4,39,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.13.2020,11,ACEH,106,5,38,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.14.2020,11,ACEH,110,5,41,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.15.2020,11,ACEH,137,7,65,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.16.2020,11,ACEH,140,8,66,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.17.2020,11,ACEH,145,8,71,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.18.2020,11,ACEH,145,8,71,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.19.2020,11,ACEH,146,9,71,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.20.2020,11,ACEH,148,9,72,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.21.2020,11,ACEH,149,9,68,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.22.2020,11,ACEH,151,9,66,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.23.2020,11,ACEH,158,10,71,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.24.2020,11,ACEH,162,10,63,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.25.2020,11,ACEH,168,10,67,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.26.2020,11,ACEH,168,10,67,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.27.2020,11,ACEH,168,10,67,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.28.2020,11,ACEH,193,10,92,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.29.2020,11,ACEH,238,13,134,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.30.2020,11,ACEH,312,13,208,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
07.31.2020,11,ACEH,410,13,306,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.01.2020,11,ACEH,410,14,305,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.02.2020,11,ACEH,431,16,324,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.03.2020,11,ACEH,433,17,325,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.04.2020,11,ACEH,440,17,332,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.05.2020,11,ACEH,442,18,333,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.06.2020,11,ACEH,483,18,373,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.07.2020,11,ACEH,536,18,426,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.08.2020,11,ACEH,536,18,426,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.09.2020,11,ACEH,580,19,469,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.10.2020,11,ACEH,676,19,564,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.11.2020,11,ACEH,676,20,563,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.12.2020,11,ACEH,748,22,535,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.13.2020,11,ACEH,749,23,535,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.14.2020,11,ACEH,841,23,627,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.15.2020,11,ACEH,866,25,650,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.16.2020,11,ACEH,877,25,661,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.17.2020,11,ACEH,1045,25,829,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.18.2020,11,ACEH,1070,27,852,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.19.2020,11,ACEH,1133,27,915,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.20.2020,11,ACEH,1137,27,919,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.21.2020,11,ACEH,1141,29,921,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.22.2020,11,ACEH,1211,29,991,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.23.2020,11,ACEH,1211,31,989,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.24.2020,11,ACEH,1241,34,1016,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.25.2020,11,ACEH,1261,37,1033,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.26.2020,11,ACEH,1291,37,1063,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.27.2020,11,ACEH,1399,37,1171,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.28.2020,11,ACEH,1449,48,1210,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.29.2020,11,ACEH,1546,54,1301,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.30.2020,11,ACEH,1600,58,1295,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
08.31.2020,11,ACEH,1633,60,1260,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.01.2020,11,ACEH,1649,63,1191,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.02.2020,11,ACEH,1697,66,1235,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.03.2020,11,ACEH,1794,69,1321,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.04.2020,11,ACEH,1884,72,1377,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.05.2020,11,ACEH,1945,73,1437,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.06.2020,11,ACEH,2023,75,1513,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.07.2020,11,ACEH,2042,78,1529,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.08.2020,11,ACEH,2054,80,1481,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.09.2020,11,ACEH,2152,81,1569,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.10.2020,11,ACEH,2258,83,1672,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.11.2020,11,ACEH,2403,85,1813,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.12.2020,11,ACEH,2527,85,1936,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.13.2020,11,ACEH,2739,90,2143,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.14.2020,11,ACEH,2892,95,2239,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.15.2020,11,ACEH,3032,101,2231,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.16.2020,11,ACEH,3127,113,1924,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.17.2020,11,ACEH,3236,125,2020,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.18.2020,11,ACEH,3352,129,1972,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.19.2020,11,ACEH,3527,129,2102,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.20.2020,11,ACEH,3595,133,2166,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.21.2020,11,ACEH,3694,135,1897,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.22.2020,11,ACEH,3785,142,1886,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.23.2020,11,ACEH,3835,145,1930,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.24.2020,11,ACEH,3891,146,1870,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.25.2020,11,ACEH,3982,148,1958,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.26.2020,11,ACEH,4173,151,2145,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.27.2020,11,ACEH,4246,156,2064,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.28.2020,11,ACEH,4325,169,1969,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.29.2020,11,ACEH,4471,178,1986,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
09.30.2020,11,ACEH,4554,181,2064,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.01.2020,11,ACEH,4666,184,2015,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.02.2020,11,ACEH,4854,190,2197,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.03.2020,11,ACEH,4927,193,2117,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.04.2020,11,ACEH,4994,200,1990,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.05.2020,11,ACEH,5064,206,1881,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.06.2020,11,ACEH,5183,210,1897,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.07.2020,11,ACEH,5255,212,1756,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.08.2020,11,ACEH,5423,214,1757,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.09.2020,11,ACEH,5546,218,1783,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.10.2020,11,ACEH,5644,220,1878,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.11.2020,11,ACEH,5767,221,2000,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.12.2020,11,ACEH,5844,223,1918,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.13.2020,11,ACEH,5895,224,1863,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.14.2020,11,ACEH,5960,227,1867,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.15.2020,11,ACEH,6077,229,1834,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.16.2020,11,ACEH,6254,235,1875,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.17.2020,11,ACEH,6436,236,1926,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.18.2020,11,ACEH,6551,242,1751,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.19.2020,11,ACEH,6667,244,1654,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.20.2020,11,ACEH,6765,246,1535,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.21.2020,11,ACEH,6845,249,1612,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.22.2020,11,ACEH,6947,252,1711,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.23.2020,11,ACEH,7037,256,1794,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.24.2020,11,ACEH,7125,261,1877,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.25.2020,11,ACEH,7212,263,1962,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.26.2020,11,ACEH,7252,268,1997,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.27.2020,11,ACEH,7265,272,2006,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.28.2020,11,ACEH,7339,276,2076,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.29.2020,11,ACEH,7373,276,2109,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.30.2020,11,ACEH,7394,278,2128,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
10.31.2020,11,ACEH,7405,279,2138,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
11.01.2020,11,ACEH,7425,279,2158,cumulative,cumulative,daily,https://data.covid19.go.id/public/api/prov_detail_ACEH.json
